CompACT,HStile,HSGPA,ActionDate,ApplDate,BDt,TotalSAT,Gender,Ethnicity,AcadPlan,zipdisk
19,87,3.43,450,121,11186,980,F,Hispanic,DGNBU-BBA,16.0399783
20,99,3.721,450,152,11075,1100,F,Hispanic,DBIOL-BS,23.61407614
12,0,3.363,109,109,11296,790,F,African American,DBIOL-BS,10.20911205
0,78,3.76,450,151,10961,950,F,White,DPBHLTH-BA,16.0399783
20,69,3.33,450,137,11099,1030,M,African American,DCSIT-BA,0
16,0,0,93,93,11257,940,F,Hispanic,DSOCI-BA,9.032902135
19,98,3.67,305,305,11051,1120,F,Hispanic,DCOMM-BA,18.90449676
0,78,3.416,450,185,11208,1050,M,White,DBIOL-BS,31.20421111
20,0,0,263,263,10989,1000,M,Hispanic,DBIOL-BS,10.94098691
0,64,3.31,344,96,11252,760,F,Hispanic,DBIOL-BS,6.070851259
0,0,0,96,96,11093,790,M,Hispanic,DACCT-BBA,10.94098691
0,91,3.51,450,95,11080,950,F,Hispanic,DPBHLTH-BS,10.95784155
0,0,0,79,79,10848,950,F,Hispanic,DPSYC-BA,9.96010621
0,0,0,87,87,10956,940,F,Hispanic,DPBHLTH-BA,12.61565729
0,0,0,122,122,11211,890,M,Hispanic,DCOMM-BA,480.6691587
18,89,3.5,450,246,11302,970,F,Hispanic,DPSYC-BA,11.59583235
17,46,3.542,358,318,11117,1010,F,Hispanic,DUNDECIDED,21.5011663
16,60,3.41,396,106,11201,1020,F,Hispanic,DPSYC-BA,9.032902135
0,65,3.48,450,96,11140,980,M,Hispanic,DPBHLTH-BS,5.009297949
21,51,3.27,450,240,11356,990,M,Hispanic,DCOMM-BA,26.39824019
14,35,3.512,351,199,11014,930,F,Hispanic,DHSML-BS,5.009297949
0,0,0,134,134,10659,780,F,Hispanic,DCDFS-BS,15.9239836
0,40,3.501,275,116,11229,1100,F,Hispanic,DCOMM-BA,10.94098691
0,0,0,108,108,11211,1190,F,Hispanic,DCRJS-BS,542.8207661
20,31,3.42,450,138,11203,1170,M,Hispanic,DCOMM-BA,13.7111687
15,0,0,340,340,10683,500,F,African American,DCDFS-BS,6.070851259
22,0,0,73,73,10964,1100,F,African American,DBUND,259.8265943
0,79,3.52,450,120,11115,930,F,Hispanic,DCDFS-BS,26.39824019
13,0,0,219,219,10787,850,F,Hispanic,DCSIT-BA,9.032902135
16,82,3.65,450,249,11301,970,F,Hispanic,DCRJS-BS,10.94098691
0,0,0,320,320,11244,1020,F,Hispanic,DBIOL-BS,16.0399783
15,75,3.48,450,96,11137,930,F,Hispanic,DFINA-BBA,8.039662853
16,69,3.52,450,134,10909,850,F,Hispanic,DCDFS-BS,10.94098691
0,73,3.4,396,95,11295,910,F,Hispanic,DPOLS-BA,6.070851259
0,0,0,95,95,10770,690,M,Hispanic,DPBHLTH-BA,5.009297949
0,0,0,87,87,11110,780,F,Hispanic,DBUND,8.039662853
0,0,0,96,96,11005,870,F,Hispanic,DCRJS-BS,9.032902135
30,91,3.83,396,109,11081,1380,M,Hispanic,DCOMM-BA,8.039662853
0,0,0,103,103,11095,970,F,Hispanic,DBUND,8.039662853
22,0,0,127,127,11040,1150,F,African American,DBIOL-BS,326.7105951
0,0,0,96,96,11083,940,F,Hispanic,DCRJS-BS,8.039662853
0,0,0,93,93,11127,680,M,Hispanic,DBUND,10.94098691
17,82,3.539,450,122,10999,1070,F,Hispanic,DBIOL-BA,22.60129595
16,0,0,450,103,11254,960,F,Hispanic,DCSIT-BA,0
17,44,3.36,149,149,11240,990,M,Asian,DGNBU-BBA,16.3561459
0,75,3.782,396,184,11148,1230,M,Hispanic,DCSIT-BA,10.95784155
23,61,3.53,396,99,11213,1050,F,Asian,DBIOL-BS,16.3561459
23,0,0,87,87,11373,0,M,Asian,DBIOL-BA,839.4723122
18,0,0,290,290,10879,0,F,African American,DPSYC-BA,46.75188831
17,0,0,87,87,11115,0,M,Hispanic,DPOLS-BA,710.8028384
16,91,3.51,275,101,11183,870,F,Hispanic,DBUND,22.60129595
15,83,3.55,275,121,11144,960,F,Hispanic,DHPMGT-BBA,21.19063763
12,19,3.12,393,131,10978,660,M,African American,DCSIT-BA,22.60129595
0,0,0,243,243,11188,1210,F,Hispanic,DBUND,551.7734043
